,etf_ticker,collected_at,symbol,name,weight,weight_pct,shares_owned,shares_owned_num,shares_value,shares_value_num
69,SCHD,2026-04-13 08:09:29.474348+00:00,WU,The Western Union Co,0.07%,0.07,7.2M,7200000.0,$63.4M,63400000.0
70,SCHD,2026-04-13 08:09:29.474348+00:00,PAG,Penske Automotive Group Inc,0.07%,0.07,418.1K,418100.0,$61.9M,61900000.0
71,SCHD,2026-04-13 08:09:29.474348+00:00,RHI,Robert Half Inc,0.06%,0.06,2.3M,2300000.0,$54.2M,54200000.0
72,SCHD,2026-04-13 08:09:29.474348+00:00,BANR,Banner Corp,0.06%,0.06,773.1K,773100.0,$48.5M,48500000.0
74,SCHD,2026-04-13 08:09:29.474348+00:00,CNS,Cohen & Steers Inc,0.05%,0.05,625.0K,625000.0,$39.3M,39300000.0
75,SCHD,2026-04-13 08:09:29.474348+00:00,CHCO,City Holding Co,0.05%,0.05,326.7K,326700.0,$40.7M,40700000.0
76,SCHD,2026-04-13 08:09:29.474348+00:00,FLO,Flowers Foods Inc,0.05%,0.05,4.8M,4800000.0,$38.8M,38800000.0
77,SCHD,2026-04-13 08:09:29.474348+00:00,OFG,OFG Bancorp,0.05%,0.05,978.5K,978500.0,$40.8M,40800000.0
78,SCHD,2026-04-13 08:09:29.474348+00:00,NBHC,National Bank Holdings Corp Class A,0.05%,0.05,1.0M,1000000.0,$41.0M,41000000.0
79,SCHD,2026-04-13 08:09:29.474348+00:00,STBA,S&T Bancorp Inc,0.04%,0.04,848.5K,848500.0,$36.6M,36600000.0
80,SCHD,2026-04-13 08:09:29.474348+00:00,SRCE,1st Source Corp,0.04%,0.04,414.5K,414500.0,$29.8M,29800000.0
81,SCHD,2026-04-13 08:09:29.474348+00:00,AGM,Federal Agricultural Mortgage Corp Class...,0.04%,0.04,212.0K,212000.0,$32.2M,32200000.000000004
82,SCHD,2026-04-13 08:09:29.474348+00:00,IPAR,Interparfums Inc,0.04%,0.04,413.9K,413900.0,$37.4M,37400000.0
83,SCHD,2026-04-13 08:09:29.474348+00:00,LKFN,Lakeland Financial Corp,0.04%,0.04,570.6K,570600.0,$33.6M,33600000.0
84,SCHD,2026-04-13 08:09:29.474348+00:00,GABC,German American Bancorp Inc,0.04%,0.04,848.4K,848400.0,$36.6M,36600000.0
85,SCHD,2026-04-13 08:09:29.474348+00:00,CWEN/A,Clearway Energy Inc Class A,0.04%,0.04,783.6K,783600.0,$31.1M,31100000.0
86,SCHD,2026-04-13 08:09:29.474348+00:00,BKE,Buckle Inc,0.04%,0.04,682.7K,682700.0,$35.0M,35000000.0
87,SCHD,2026-04-13 08:09:29.474348+00:00,CNA,CNA Financial Corp,0.03%,0.03,491.2K,491200.0,$22.8M,22800000.0
89,SCHD,2026-04-13 08:09:29.474348+00:00,NSP,Insperity Inc,0.03%,0.03,811.3K,811300.0,$22.6M,22600000.0
90,SCHD,2026-04-13 08:09:29.474348+00:00,PFBC,Preferred Bank,0.03%,0.03,256.7K,256700.0,$23.5M,23500000.0
91,SCHD,2026-04-13 08:09:29.474348+00:00,WEN,The Wendy's Co Class A,0.03%,0.03,3.6M,3600000.0,$24.7M,24700000.0
92,SCHD,2026-04-13 08:09:29.474348+00:00,VRTS,Virtus Investment Partners Inc,0.02%,0.02,143.8K,143800.0,$18.6M,18600000.0
93,SCHD,2026-04-13 08:09:29.474348+00:00,ORRF,Orrstown Financial Services Inc,0.02%,0.02,441.5K,441500.0,$16.4M,16399999.999999998
94,SCHD,2026-04-13 08:09:29.474348+00:00,IBCP,Independent Bank Corp.,0.02%,0.02,455.7K,455700.0,$15.4M,15400000.0
95,SCHD,2026-04-13 08:09:29.474348+00:00,HAFC,Hanmi Financial Corp,0.02%,0.02,672.4K,672400.0,$18.1M,18100000.0
96,SCHD,2026-04-13 08:09:29.474348+00:00,THFF,First Financial Corp,0.02%,0.02,270.6K,270600.0,$17.4M,17400000.0
98,SCHD,2026-04-13 08:09:29.474348+00:00,AMSF,AMERISAFE Inc,0.02%,0.02,431.4K,431400.0,$14.6M,14600000.0
99,SCHD,2026-04-13 08:09:29.474348+00:00,CCBG,Capital City Bank Group Inc,0.02%,0.02,305.2K,305200.0,$13.8M,13800000.0
100,SCHD,2026-04-13 08:09:29.474348+00:00,CPF,Central Pacific Financial Corp,0.02%,0.02,599.0K,599000.0,$19.5M,19500000.0
101,SCHD,2026-04-13 08:09:29.474348+00:00,ETD,Ethan Allen Interiors Inc,0.01%,0.01,523.9K,523900.0,$11.1M,11100000.0
102,SCHD,2026-04-13 08:09:29.474348+00:00,EBF,Ennis Inc,0.01%,0.01,579.6K,579600.0,$12.6M,12600000.0
103,SCHD,2026-04-13 08:09:29.474348+00:00,OXM,Oxford Industries Inc,0.01%,0.01,316.5K,316500.0,$12.5M,12500000.0
